date,company,amount,exchange,segment,scrip_code,instrument_type,strike_price,expiry,trade_num,trade_time,side,quantity,price
2021-12-21 00:00:00,Prakash Steelage,52,NSE,EQ,533239,Equity,,,0,11:13:00,Buy,10,5.2
2021-12-21 00:00:00,Virtual Global Education,318,NSE,EQ,534741,Equity,,,0,11:01:00,Buy,200,1.59
2021-12-21 00:00:00,Jaiprakash Power Ventures,150,NSE,EQ,532627,Equity,,,0,11:01:00,Buy,30,5
2021-12-20 00:00:00,Suzlon Energy,365,NSE,EQ,532667,Equity,,,0,16:05:00,Buy,50,7.3
2021-12-20 00:00:00,Jaiprakash Power Ventures,96,NSE,EQ,532627,Equity,,,0,09:46:00,Buy,20,4.8
2021-12-15 00:00:00,HFCL,825.5,NSE,EQ,500183,Equity,,,0,10:03:00,Buy,10,82.55
2021-12-10 00:00:00,Prakash Steelage,381,NSE,EQ,533239,Equity,,,0,09:54:00,Buy,60,6.35
2021-12-09 00:00:00,Trident,2800,NSE,EQ,521064,Equity,,,0,16:17:00,Buy,50,56
2021-12-03 00:00:00,Virtual Global Education,444,NSE,EQ,534741,Equity,,,0,09:30:00,Sell,400,1.11
2021-12-02 00:00:00,Virtual Global Education,348,NSE,EQ,534741,Equity,,,0,09:16:00,Buy,300,1.16
2021-11-29 00:00:00,Tata Teleservices (Maharashtra),16080,NSE,EQ,532371,Equity,,,0,09:40:00,Sell,150,107.2
2021-11-29 00:00:00,Tata Teleservices (Maharashtra),10155.6,NSE,EQ,532371,Equity,,,0,09:25:00,Buy,104,97.65
2021-11-29 00:00:00,Tata Teleservices (Maharashtra),6996,NSE,EQ,532371,Equity,,,0,09:12:00,Buy,66,106
2021-11-29 00:00:00,Lloyds Engineering Works,18750,NSE,EQ,539992,Equity,,,0,09:11:00,Buy,1500,12.5
2021-11-28 00:00:00,Sintex Industries,9953,NSE,EQ,502742,Equity,,,0,21:02:00,Buy,740,13.45
2021-11-28 00:00:00,Capital Trade Links,10800,NSE,EQ,538476,Equity,,,0,20:48:00,Buy,1000,10.8
2021-11-28 00:00:00,Orient Green Power Company,4625,NSE,EQ,533263,Equity,,,0,20:42:00,Buy,500,9.25
2021-11-26 00:00:00,Tata Teleservices (Maharashtra),10200,NSE,EQ,532371,Equity,,,0,10:14:00,Sell,100,102
2021-11-26 00:00:00,Tata Teleservices (Maharashtra),676.2,NSE,EQ,532371,Equity,,,0,10:09:00,Buy,7,96.6
2021-11-26 00:00:00,Tata Teleservices (Maharashtra),1292.85,NSE,EQ,532371,Equity,,,0,09:59:00,Buy,13,99.45
2021-11-26 00:00:00,Tata Teleservices (Maharashtra),694.4,NSE,EQ,532371,Equity,,,0,09:51:00,Buy,7,99.2
2021-11-26 00:00:00,Virtual Global Education,90,NSE,EQ,534741,Equity,,,0,09:24:00,Buy,100,0.9
2021-11-26 00:00:00,Virtual Global Education,93,NSE,EQ,534741,Equity,,,0,09:19:00,Buy,100,0.93
2021-11-26 00:00:00,Virtual Global Education,94,NSE,EQ,534741,Equity,,,0,09:19:00,Buy,100,0.94
2021-11-26 00:00:00,Tata Teleservices (Maharashtra),4044.15,NSE,EQ,532371,Equity,,,0,09:09:00,Buy,43,94.05
2021-11-26 00:00:00,Tata Teleservices (Maharashtra),4862.5,NSE,EQ,532371,Equity,,,0,08:55:00,Buy,50,97.25
2021-11-26 00:00:00,Virtual Global Education,97,NSE,EQ,534741,Equity,,,0,01:40:00,Buy,100,0.97
2021-11-25 00:00:00,Capital Trade Links,121.1,NSE,EQ,538476,Equity,,,0,09:31:00,Buy,14,8.65
2021-11-25 00:00:00,Yamini Investments Company,97,NSE,EQ,511012,Equity,,,0,00:02:00,Buy,100,0.97
2021-11-24 00:00:00,Capital Trade Links,73.5,NSE,EQ,538476,Equity,,,0,09:36:00,Buy,10,7.35
2021-11-24 00:00:00,Lloyds Engineering Works,442.8,NSE,EQ,539992,Equity,,,0,09:19:00,Buy,40,11.07
2021-11-24 00:00:00,Lloyds Engineering Works,553.5,NSE,EQ,539992,Equity,,,0,09:18:00,Buy,50,11.07
2021-11-22 00:00:00,Lloyds Engineering Works,67.55,NSE,EQ,539992,Equity,,,0,09:31:00,Buy,7,9.65
2021-11-15 00:00:00,Lloyds Engineering Works,24.9,NSE,EQ,539992,Equity,,,0,00:45:00,Buy,3,8.3
2021-11-08 00:00:00,Bank of Baroda,103.2,NSE,EQ,532134,Equity,,,0,09:01:00,Sell,1,103.2
