date,segment,exchange,symbol,scrip_name,holding_quantity,avg_price,holding_amount,open_price,open_amount,high_price,high_amount,low_price,low_amount,close_price,close_amount
2022-12-10,EQ,NSE,AWL,ADANI WILMAR LIMITED,61.0,230.0,14030.0,656.0,40016.0,661.25,40336.25,632.05,38555.05,639.1,38985.1
2022-12-10,EQ,NSE,RTNPOWER,RATTANINDIA POWER LIMITED,12.0,7.7,92.4,4.18,50.16,4.21,50.52,4.07,48.84,4.1,49.2
2022-12-10,EQ,NSE,TATAMOTORS,TATA MOTORS,10.0,482.45,4824.5,417.37,4173.7,418.31,4183.1,407.08,4070.8,410.81,4108.1
2022-12-10,EQ,NSE,WIPRO,WIPRO LTD.,15.0,542.67,8140.0,402.75,6041.25,404.14,6062.1,389.56,5843.4,392.24,5883.6
2022-12-10,EQ,NSE,ZOMATO,ZOMATO LIMITED,100.0,94.71,9471.45,64.2,6420.0,64.85,6485.0,63.9,6390.0,64.15,6415.0
2022-12-11,EQ,NSE,AWL,ADANI WILMAR LIMITED,61.0,230.0,14030.0,656.0,40016.0,661.25,40336.25,632.05,38555.05,639.1,38985.1
2022-12-11,EQ,NSE,RTNPOWER,RATTANINDIA POWER LIMITED,12.0,7.7,92.4,4.18,50.16,4.21,50.52,4.07,48.84,4.1,49.2
2022-12-11,EQ,NSE,TATAMOTORS,TATA MOTORS,10.0,482.45,4824.5,417.37,4173.7,418.31,4183.1,407.08,4070.8,410.81,4108.1
2022-12-11,EQ,NSE,WIPRO,WIPRO LTD.,15.0,542.67,8140.0,402.75,6041.25,404.14,6062.1,389.56,5843.4,392.24,5883.6
2022-12-11,EQ,NSE,ZOMATO,ZOMATO LIMITED,100.0,94.71,9471.45,64.2,6420.0,64.85,6485.0,63.9,6390.0,64.15,6415.0
2022-12-12,EQ,NSE,AWL,ADANI WILMAR LIMITED,61.0,230.0,14030.0,640.0,39040.0,645.0,39345.0,634.1,38680.1,638.6,38954.6
2022-12-12,EQ,NSE,RTNPOWER,RATTANINDIA POWER LIMITED,12.0,7.7,92.4,4.04,48.48,4.2,50.4,4.04,48.48,4.15,49.8
2022-12-12,EQ,NSE,TATAMOTORS,TATA MOTORS,10.0,482.45,4824.5,409.22,4092.2,414.38,4143.8,405.49,4054.9,411.55,4115.5
2022-12-12,EQ,NSE,WIPRO,WIPRO LTD.,15.0,542.67,8140.0,391.7,5875.5,395.63,5934.45,386.22,5793.3,394.14,5912.1
2022-12-12,EQ,NSE,ZOMATO,ZOMATO LIMITED,100.0,94.71,9471.45,64.15,6415.0,64.75,6475.0,63.6,6360.0,64.4,6440.0
2022-12-13,EQ,NSE,AWL,ADANI WILMAR LIMITED,61.0,230.0,14030.0,641.8,39149.8,666.0,40626.0,640.0,39040.0,651.25,39726.25
2022-12-13,EQ,NSE,RTNPOWER,RATTANINDIA POWER LIMITED,12.0,7.7,92.4,4.16,49.92,4.24,50.88,4.12,49.44,4.14,49.68
2022-12-13,EQ,NSE,TATAMOTORS,TATA MOTORS,10.0,482.45,4824.5,416.92,4169.2,418.71,4187.1,414.73,4147.3,415.92,4159.2
2022-12-13,EQ,NSE,WIPRO,WIPRO LTD.,15.0,542.67,8140.0,397.17,5957.55,397.57,5963.55,394.29,5914.35,395.83,5937.45
2022-12-13,EQ,NSE,ZOMATO,ZOMATO LIMITED,100.0,94.71,9471.45,64.8,6480.0,65.2,6520.0,64.35,6435.0,64.6,6460.0
2022-12-14,EQ,NSE,AWL,ADANI WILMAR LIMITED,61.0,230.0,14030.0,654.0,39894.0,655.25,39970.25,645.55,39378.55,646.65,39445.65
2022-12-14,EQ,NSE,RTNPOWER,RATTANINDIA POWER LIMITED,12.0,7.7,92.4,4.16,49.92,4.34,52.08,4.1,49.2,4.3,51.6
2022-12-14,EQ,NSE,TATAMOTORS,TATA MOTORS,10.0,482.45,4824.5,417.41,4174.1,418.86,4188.6,414.88,4148.8,415.38,4153.8
2022-12-14,EQ,NSE,WIPRO,WIPRO LTD.,15.0,542.67,8140.0,398.47,5977.05,402.65,6039.75,397.42,5961.3,398.12,5971.8
2022-12-14,EQ,NSE,ZOMATO,ZOMATO LIMITED,100.0,94.71,9471.45,64.85,6485.0,65.45,6545.0,64.6,6460.0,65.0,6500.0
2022-12-15,EQ,NSE,AWL,ADANI WILMAR LIMITED,61.0,230.0,14030.0,645.95,39402.95,653.95,39890.95,640.0,39040.0,641.65,39140.65
2022-12-15,EQ,NSE,RTNPOWER,RATTANINDIA POWER LIMITED,12.0,7.7,92.4,4.3,51.6,4.34,52.08,4.17,50.04,4.19,50.28
2022-12-15,EQ,NSE,TATAMOTORS,TATA MOTORS,10.0,482.45,4824.5,416.42,4164.2,419.95,4199.5,413.14,4131.4,414.09,4140.9
2022-12-15,EQ,NSE,WIPRO,WIPRO LTD.,15.0,542.67,8140.0,398.17,5972.55,398.17,5972.55,392.34,5885.1,393.54,5903.1
2022-12-15,EQ,NSE,ZOMATO,ZOMATO LIMITED,100.0,94.71,9471.45,64.95,6495.0,65.25,6525.0,63.8,6380.0,64.15,6415.0
2022-12-16,EQ,NSE,AWL,ADANI WILMAR LIMITED,61.0,230.0,14030.0,638.0,38918.0,652.3,39790.3,630.0,38430.0,636.25,38811.25
2022-12-16,EQ,NSE,RTNPOWER,RATTANINDIA POWER LIMITED,12.0,7.7,92.4,4.18,50.16,4.24,50.88,4.11,49.32,4.14,49.68
2022-12-16,EQ,NSE,TATAMOTORS,TATA MOTORS,10.0,482.45,4824.5,413.49,4134.9,425.12,4251.2,410.56,4105.6,418.66,4186.6
2022-12-16,EQ,NSE,WIPRO,WIPRO LTD.,15.0,542.67,8140.0,391.2,5868.0,392.99,5894.85,386.57,5798.55,387.91,5818.65
2022-12-16,EQ,NSE,ZOMATO,ZOMATO LIMITED,100.0,94.71,9471.45,63.75,6375.0,64.0,6400.0,61.85,6185.0,62.15,6215.0
2022-12-17,EQ,NSE,AWL,ADANI WILMAR LIMITED,61.0,230.0,14030.0,638.0,38918.0,652.3,39790.3,630.0,38430.0,636.25,38811.25
2022-12-17,EQ,NSE,RTNPOWER,RATTANINDIA POWER LIMITED,12.0,7.7,92.4,4.18,50.16,4.24,50.88,4.11,49.32,4.14,49.68
2022-12-17,EQ,NSE,TATAMOTORS,TATA MOTORS,10.0,482.45,4824.5,413.49,4134.9,425.12,4251.2,410.56,4105.6,418.66,4186.6
2022-12-17,EQ,NSE,WIPRO,WIPRO LTD.,15.0,542.67,8140.0,391.2,5868.0,392.99,5894.85,386.57,5798.55,387.91,5818.65
2022-12-17,EQ,NSE,ZOMATO,ZOMATO LIMITED,100.0,94.71,9471.45,63.75,6375.0,64.0,6400.0,61.85,6185.0,62.15,6215.0
2022-12-18,EQ,NSE,AWL,ADANI WILMAR LIMITED,61.0,230.0,14030.0,638.0,38918.0,652.3,39790.3,630.0,38430.0,636.25,38811.25
2022-12-18,EQ,NSE,RTNPOWER,RATTANINDIA POWER LIMITED,12.0,7.7,92.4,4.18,50.16,4.24,50.88,4.11,49.32,4.14,49.68
2022-12-18,EQ,NSE,TATAMOTORS,TATA MOTORS,10.0,482.45,4824.5,413.49,4134.9,425.12,4251.2,410.56,4105.6,418.66,4186.6
2022-12-18,EQ,NSE,WIPRO,WIPRO LTD.,15.0,542.67,8140.0,391.2,5868.0,392.99,5894.85,386.57,5798.55,387.91,5818.65
2022-12-18,EQ,NSE,ZOMATO,ZOMATO LIMITED,100.0,94.71,9471.45,63.75,6375.0,64.0,6400.0,61.85,6185.0,62.15,6215.0
2022-12-19,EQ,NSE,AWL,ADANI WILMAR LIMITED,61.0,230.0,14030.0,639.5,39009.5,640.0,39040.0,626.25,38201.25,629.4,38393.4
2022-12-19,EQ,NSE,RTNPOWER,RATTANINDIA POWER LIMITED,12.0,7.7,92.4,4.15,49.8,4.31,51.72,4.12,49.44,4.25,51.0
